name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Xanthomonas campestris	339	S	77	0	77	0.00018
Xanthomonas citri	346	S	67	0	67	0.00016
Xanthomonas translucens	343	S	54	0	54	0.00013
Xanthomonas arboricola	56448	S	47	0	47	0.00011
Xanthomonas fragariae	48664	S	34	0	34	0.00008
Xanthomonas cassavae	56450	S	32	0	32	0.00008
Xanthomonas cucurbitae	56453	S	26	0	26	0.00006
Xanthomonas hortorum	56454	S	25	0	25	0.00006
Xanthomonas vesicatoria	56460	S	24	0	24	0.00006
Xanthomonas sacchari	56458	S	20	0	20	0.00005
Xanthomonas oryzae	347	S	17	0	17	0.00004
Xanthomonas albilineans	29447	S	12	0	12	0.00003
Xanthomonas euvesicatoria	456327	S	11	0	11	0.00003
Xanthomonas prunicola	2053930	S	9	0	9	0.00002
Xanthomonas axonopodis	53413	S	8	0	8	0.00002
Xanthomonas hydrangeae	2775159	S	6	0	6	0.00001
Xanthomonas vasicola	56459	S	5	0	5	0.00001
Xanthomonas theicola	56464	S	3	0	3	0.00001
Xanthomonas perforans	442694	S	2	0	2	0.00000
Xanthomonas phaseoli	1985254	S	2	0	2	0.00000
Xanthomonas euroxanthea	2259622	S	2	0	2	0.00000
Xanthomonas hyacinthi	56455	S	1	0	1	0.00000
Lysobacter sp. H21R4	2781021	S	38	0	38	0.00009
Lysobacter sp. KIS68-7	2904252	S	12	0	12	0.00003
Lysobacter sp. TY2-98	2290922	S	5	0	5	0.00001
Lysobacter sp. CW239	2762611	S	5	0	5	0.00001
Lysobacter sp. S4-A87	2925843	S	5	0	5	0.00001
Lysobacter sp. 5GHs7-4	2904253	S	3	0	3	0.00001
Lysobacter sp. K5869	2820808	S	2	0	2	0.00000
Lysobacter capsici	435897	S	30	0	30	0.00007
Lysobacter gummosus	262324	S	15	0	15	0.00004
Lysobacter enzymogenes	69	S	10	0	10	0.00002
Lysobacter solisilvae	2763317	S	6	0	6	0.00001
Lysobacter luteus	2822368	S	5	0	5	0.00001
Lysobacter soli	453783	S	4	0	4	0.00001
Lysobacter terrestris	2865112	S	2	0	2	0.00000
Lysobacter arenosi	2795387	S	2	0	2	0.00000
Lysobacter antibioticus	84531	S	1	0	1	0.00000
Luteimonas sp. YGD11-2	2508168	S	14	0	14	0.00003
Luteimonas sp. JM171	1896164	S	3	0	3	0.00001
Luteimonas sp. MC1825	2761107	S	3	0	3	0.00001
Luteimonas sp. MC1572	2799325	S	3	0	3	0.00001
Luteimonas sp. MC1750	2799326	S	2	0	2	0.00000
Luteimonas sp. S4-F44	2925842	S	2	0	2	0.00000
Luteimonas fraxinea	2901869	S	29	0	29	0.00007
Luteimonas chenhongjianii	2006110	S	4	0	4	0.00001
Luteimonas yindakuii	2565782	S	1	0	1	0.00000
Pseudoxanthomonas spadix	415229	S	15	0	15	0.00004
Pseudoxanthomonas daejeonensis	266062	S	8	0	8	0.00002
Pseudoxanthomonas suwonensis	314722	S	6	0	6	0.00001
Pseudoxanthomonas sp. X-1	2571115	S	4	0	4	0.00001
Pseudoxanthomonas mexicana	128785	S	1	0	1	0.00000
Thermomonas sp. IMCC34681	2884874	S	14	0	14	0.00003
Thermomonas brevis	215691	S	11	0	11	0.00003
Thermomonas carbonis	1463158	S	1	0	1	0.00000
Xylella taiwanensis	1444770	S	2	0	2	0.00000
Dyella sp. M7H15-1	2501295	S	26	0	26	0.00006
Dyella thiooxydans	445710	S	16	0	16	0.00004
Rhodanobacter sp. FDAARGOS 1247	2778082	S	28	0	28	0.00007
Luteibacter sp. 353	2911539	S	2	0	2	0.00000
Tahibacter sp. W38	2976241	S	1	0	1	0.00000
Ahniella affigens	2021234	S	1	0	1	0.00000
Pseudomonas fluorescens	294	S	1731	0	1731	0.00415
Pseudomonas azotoformans	47878	S	1148	0	1148	0.00275
Pseudomonas protegens	380021	S	803	0	803	0.00193
Pseudomonas synxantha	47883	S	68	0	68	0.00016
Pseudomonas tolaasii	29442	S	44	0	44	0.00011
Pseudomonas rhodesiae	76760	S	43	0	43	0.00010
Pseudomonas orientalis	76758	S	42	0	42	0.00010
Pseudomonas libanensis	75588	S	37	0	37	0.00009
Pseudomonas poae	200451	S	27	0	27	0.00006
Pseudomonas cedrina	651740	S	25	0	25	0.00006
Pseudomonas brenneri	129817	S	23	0	23	0.00006
Pseudomonas trivialis	200450	S	22	0	22	0.00005
Pseudomonas mandelii	75612	S	15	0	15	0.00004
Pseudomonas mucidolens	46679	S	12	0	12	0.00003
Pseudomonas veronii	76761	S	9	0	9	0.00002
Pseudomonas extremorientalis	169669	S	9	0	9	0.00002
Pseudomonas migulae	78543	S	4	0	4	0.00001
Pseudomonas corrugata	47879	S	3	0	3	0.00001
Pseudomonas mediterranea	183795	S	1	0	1	0.00000
Pseudomonas ogarae	1114970	S	1	0	1	0.00000
Pseudomonas sp. NIBRBAC000502773	2590776	S	862	0	862	0.00207
Pseudomonas sp. S35	1573719	S	98	0	98	0.00024
Pseudomonas sp. LG1E9	2219057	S	45	0	45	0.00011
Pseudomonas sp. OE 28.3	2745519	S	40	0	40	0.00010
Pseudomonas sp. DR 5-09	1534110	S	26	0	26	0.00006
Pseudomonas sp. CIP-10	2892442	S	25	0	25	0.00006
Pseudomonas sp. S09G 359	2054919	S	25	0	25	0.00006
Pseudomonas sp. HN11	1344094	S	24	0	24	0.00006
Pseudomonas sp. DR48	2871095	S	24	0	24	0.00006
Pseudomonas sp. ADAK18	2730848	S	23	0	23	0.00006
Pseudomonas sp. NS1(2017)	2025658	S	23	0	23	0.00006
Pseudomonas sp. B21-021	2895476	S	19	0	19	0.00005
Pseudomonas sp. CYM-20-01	2870750	S	16	0	16	0.00004
Pseudomonas sp. TCU-HL1	1856685	S	16	0	16	0.00004
Pseudomonas sp. ADAK13	2730847	S	15	0	15	0.00004
Pseudomonas sp. SCB32	2653853	S	15	0	15	0.00004
Pseudomonas sp. R76	1573711	S	14	0	14	0.00003
Pseudomonas sp. 2hn	2866626	S	14	0	14	0.00003
Pseudomonas sp. R5-89-07	658644	S	13	0	13	0.00003
Pseudomonas sp. TMW 2.1634	1886807	S	13	0	13	0.00003
Pseudomonas sp. 3-2	2867408	S	13	0	13	0.00003
Pseudomonas sp. L5B5	2883205	S	11	0	11	0.00003
Pseudomonas sp. Marseille-Q3773	2866592	S	11	0	11	0.00003
Pseudomonas sp. SXM-1	2169583	S	9	0	9	0.00002
Pseudomonas sp. FDAARGOS_380	2018067	S	8	0	8	0.00002
Pseudomonas sp. Eqa60	2799184	S	8	0	8	0.00002
Pseudomonas sp. ADAK22	2730851	S	8	0	8	0.00002
Pseudomonas sp. So3.2b	2864101	S	7	0	7	0.00002
Pseudomonas sp. IzPS59	2774459	S	7	0	7	0.00002
Pseudomonas sp. N3-W	2975049	S	7	0	7	0.00002
Pseudomonas sp. Seg1	2678259	S	7	0	7	0.00002
Pseudomonas sp. MYb193	1827300	S	6	0	6	0.00001
Pseudomonas sp. BT-42-2	2986927	S	6	0	6	0.00001
Pseudomonas sp. SCA2728.1_7	2825975	S	6	0	6	0.00001
Pseudomonas sp. LTJR-52	2479392	S	6	0	6	0.00001
Pseudomonas sp. Ost2	2678260	S	6	0	6	0.00001
Pseudomonas sp. CBS	2971912	S	6	0	6	0.00001
Pseudomonas sp. NIBR-H-19	2901380	S	6	0	6	0.00001
Pseudomonas sp. TKP	1415630	S	5	0	5	0.00001
Pseudomonas sp. ERGC3:05	2866386	S	5	0	5	0.00001
Pseudomonas sp. DTU12.3	2073078	S	5	0	5	0.00001
Pseudomonas sp. LBUM920	2126069	S	5	0	5	0.00001
Pseudomonas sp. CMR5c	658630	S	5	0	5	0.00001
Pseudomonas sp. SDM007	2812000	S	5	0	5	0.00001
Pseudomonas sp. IAC-BECa141	2793103	S	4	0	4	0.00001
Pseudomonas sp. R2-60-08W	1173280	S	4	0	4	0.00001
Pseudomonas sp. R1-43-08	1173270	S	4	0	4	0.00001
Pseudomonas sp. B21-044	2895488	S	4	0	4	0.00001
Pseudomonas sp. B21-051	2895491	S	4	0	4	0.00001
Pseudomonas sp. PP3	2815936	S	4	0	4	0.00001
Pseudomonas sp. LS44	1357074	S	4	0	4	0.00001
Pseudomonas sp. B21-056	2895495	S	4	0	4	0.00001
Pseudomonas sp. MPC6	2498848	S	4	0	4	0.00001
Pseudomonas sp. PIA16	2931382	S	4	0	4	0.00001
Pseudomonas sp. J380	2605424	S	4	0	4	0.00001
Pseudomonas sp. BW7P1	2973088	S	4	0	4	0.00001
Pseudomonas sp.	306	S	4	0	4	0.00001
Pseudomonas sp. MM213	2866807	S	4	0	4	0.00001
Pseudomonas sp. R3-18-08	1173283	S	4	0	4	0.00001
Pseudomonas sp. R84	1573712	S	4	0	4	0.00001
Pseudomonas sp. MRSN 12121	1611770	S	4	0	4	0.00001
Pseudomonas sp. KNUC1026	2893890	S	4	0	4	0.00001
Pseudomonas sp. UW4	1207075	S	3	0	3	0.00001
Pseudomonas sp. LG1D9	2083054	S	3	0	3	0.00001
Pseudomonas sp. S34	1573718	S	3	0	3	0.00001
Pseudomonas sp. B21-032	2895483	S	3	0	3	0.00001
Pseudomonas sp. Tri1	2823875	S	3	0	3	0.00001
Pseudomonas sp. B21-019	2895475	S	3	0	3	0.00001
Pseudomonas sp. B21-048	2895490	S	3	0	3	0.00001
Pseudomonas sp. HS6	2850559	S	3	0	3	0.00001
Pseudomonas sp. B21-015	2895473	S	3	0	3	0.00001
Pseudomonas sp. In5(2022)	2961896	S	3	0	3	0.00001
Pseudomonas sp. Os17	1500686	S	3	0	3	0.00001
Pseudomonas sp. DY-1	1755504	S	3	0	3	0.00001
Pseudomonas sp. 7SR1	1881017	S	3	0	3	0.00001
Pseudomonas sp. StFLB209	1028989	S	3	0	3	0.00001
Pseudomonas sp. YeP6b	2861775	S	3	0	3	0.00001
Pseudomonas sp. R2-37-08W	1173273	S	3	0	3	0.00001
Pseudomonas sp. DTU12.1	2654238	S	2	0	2	0.00000
Pseudomonas sp. B21-012	2895472	S	2	0	2	0.00000
Pseudomonas sp. B21-053	2895493	S	2	0	2	0.00000
Pseudomonas sp. GCEP-101	2974552	S	2	0	2	0.00000
Pseudomonas sp. 31-12	2201356	S	2	0	2	0.00000
Pseudomonas sp. B21-028	2895480	S	2	0	2	0.00000
Pseudomonas sp. NY5710	2662033	S	2	0	2	0.00000
Pseudomonas sp. B21-010	2895471	S	2	0	2	0.00000
Pseudomonas sp. S150	2559074	S	2	0	2	0.00000
Pseudomonas sp. HN8-3	2886361	S	2	0	2	0.00000
Pseudomonas sp. MSPm1	2726956	S	2	0	2	0.00000
Pseudomonas sp. gcc21	2726989	S	2	0	2	0.00000
Pseudomonas sp. R4-35-07	658643	S	2	0	2	0.00000
Pseudomonas sp. IB20	1702250	S	2	0	2	0.00000
Pseudomonas sp. BIOMIG1BAC	1758730	S	2	0	2	0.00000
Pseudomonas sp. B21-040	2895486	S	2	0	2	0.00000
Pseudomonas sp. CC6-YY-74	1930532	S	2	0	2	0.00000
Pseudomonas sp. RU47	2005388	S	2	0	2	0.00000
Pseudomonas sp. LH1G9	2083055	S	2	0	2	0.00000
Pseudomonas sp. R4-34-07	658642	S	2	0	2	0.00000
Pseudomonas sp. ACM7	2052956	S	2	0	2	0.00000
Pseudomonas sp. SC3(2021)	2871493	S	2	0	2	0.00000
Pseudomonas sp. B21-036	2895485	S	1	0	1	0.00000
Pseudomonas sp. 15A4	2804761	S	1	0	1	0.00000
Pseudomonas sp. Cab53	2678258	S	1	0	1	0.00000
Pseudomonas sp. B21-054	2895494	S	1	0	1	0.00000
Pseudomonas sp. AN-B15	2697023	S	1	0	1	0.00000
Pseudomonas sp. B21-041	2895487	S	1	0	1	0.00000
Pseudomonas sp. DR208	2870840	S	1	0	1	0.00000
Pseudomonas sp. MTM4	2705472	S	1	0	1	0.00000
Pseudomonas sp. Colony2	2861799	S	1	0	1	0.00000
Pseudomonas sp. Y5-11	2749808	S	1	0	1	0.00000
Pseudomonas sp. OST1909	2777367	S	1	0	1	0.00000
Pseudomonas sp. SK	2729423	S	1	0	1	0.00000
Pseudomonas sp. LS1212	2972478	S	1	0	1	0.00000
Pseudomonas sp. HN2	2884805	S	1	0	1	0.00000
Pseudomonas sp. B21-059	2895496	S	1	0	1	0.00000
Pseudomonas sp. HD6515	2856556	S	1	0	1	0.00000
Pseudomonas sp. B11D7D	2735906	S	1	0	1	0.00000
Pseudomonas sp. AO-1	2855434	S	1	0	1	0.00000
Pseudomonas sp. phDV1	253237	S	1	0	1	0.00000
Pseudomonas sp. SWI36	2083052	S	1	0	1	0.00000
Pseudomonas sp. DG56-2	2320270	S	1	0	1	0.00000
Pseudomonas sp. URMO17WK12:I11	1283291	S	1	0	1	0.00000
Pseudomonas sp. R3-52-08	1173284	S	1	0	1	0.00000
Pseudomonas sp. R2-7-07	658641	S	1	0	1	0.00000
Pseudomonas sp. R11-23-07	658632	S	1	0	1	0.00000
Pseudomonas sp. St29	1500687	S	1	0	1	0.00000
Pseudomonas sp. 09C 129	2054915	S	1	0	1	0.00000
Pseudomonas sp. M30-35	1981174	S	1	0	1	0.00000
Pseudomonas sp. CFSAN084952	2664899	S	1	0	1	0.00000
Pseudomonas sp. M1	95619	S	1	0	1	0.00000
Pseudomonas sp. St316	2678257	S	1	0	1	0.00000
Pseudomonas palleroniana	191390	S	201	0	201	0.00048
Pseudomonas amygdali	47877	S	58	0	58	0.00014
Pseudomonas syringae	317	S	26	0	26	0.00006
Pseudomonas viridiflava	33069	S	13	0	13	0.00003
Pseudomonas cichorii	36746	S	5	0	5	0.00001
Pseudomonas asturiensis	1190415	S	3	0	3	0.00001
Pseudomonas syringae group genomosp. 3	251701	S	2	0	2	0.00000
Pseudomonas avellanae	46257	S	1	0	1	0.00000
Pseudomonas fuscovaginae	50340	S	1	0	1	0.00000
Pseudomonas putida	303	S	30	0	30	0.00007
Pseudomonas mosselii	78327	S	9	0	9	0.00002
Pseudomonas fulva	47880	S	7	0	7	0.00002
Pseudomonas wadenswilerensis	1785161	S	6	0	6	0.00001
Pseudomonas plecoglossicida	70775	S	2	0	2	0.00000
Pseudomonas monteilii	76759	S	2	0	2	0.00000
Pseudomonas chlororaphis	587753	S	48	324	372	0.00089
Pseudomonas lundensis	86185	S	8	0	8	0.00002
Pseudomonas fragi	296	S	5	0	5	0.00001
Pseudomonas aeruginosa	287	S	38	1222	1260	0.00302
Pseudomonas mendocina	300	S	2	0	2	0.00000
Pseudomonas citronellolis	53408	S	2	0	2	0.00000
Pseudomonas resinovorans	53412	S	2	0	2	0.00000
Pseudomonas alcaligenes	43263	S	1	0	1	0.00000
Pseudomonas furukawaii	1149133	S	1	0	1	0.00000
Pseudomonas extremaustralis	359110	S	45	0	45	0.00011
Pseudomonas glycinae	1785145	S	43	0	43	0.00010
Pseudomonas rhizosphaerae	216142	S	30	0	30	0.00007
Pseudomonas antarctica	219572	S	26	0	26	0.00006
Pseudomonas taetrolens	47884	S	24	0	24	0.00006
Pseudomonas simiae	321846	S	24	0	24	0.00006
Pseudomonas lurida	244566	S	20	0	20	0.00005
Pseudomonas yamanorum	515393	S	19	0	19	0.00005
Pseudomonas eucalypticola	2599595	S	18	0	18	0.00004
Pseudomonas tructae	2518644	S	17	0	17	0.00004
Pseudomonas asgharzadehiana	2842349	S	17	0	17	0.00004
Pseudomonas tritici	2745518	S	13	0	13	0.00003
Pseudomonas nanhaiensis	2830842	S	12	0	12	0.00003
Pseudomonas fitomaticsae	2837969	S	12	0	12	0.00003
Pseudomonas thivervalensis	86265	S	9	0	9	0.00002
Pseudomonas cremoricolorata	157783	S	8	0	8	0.00002
Pseudomonas gozinkensis	2774461	S	8	0	8	0.00002
Pseudomonas kribbensis	1628086	S	7	0	7	0.00002
Pseudomonas qingdaonensis	2056231	S	7	0	7	0.00002
Pseudomonas salmasensis	2745514	S	7	0	7	0.00002
Pseudomonas psychrophila	122355	S	6	0	6	0.00001
Pseudomonas allokribbensis	2774460	S	6	0	6	0.00001
Pseudomonas agarici	46677	S	6	0	6	0.00001
Pseudomonas alkylphenolica	237609	S	5	0	5	0.00001
Pseudomonas lactis	1615674	S	5	0	5	0.00001
Pseudomonas brassicacearum	930166	S	4	11	15	0.00004
Pseudomonas arsenicoxydans	702115	S	4	0	4	0.00001
Pseudomonas prosekii	1148509	S	4	0	4	0.00001
Pseudomonas atacamensis	2565368	S	4	0	4	0.00001
Pseudomonas frederiksbergensis	104087	S	4	0	4	0.00001
Pseudomonas phytophila	2867264	S	4	0	4	0.00001
Pseudomonas koreensis	198620	S	4	0	4	0.00001
Pseudomonas luteola	47886	S	4	0	4	0.00001
Pseudomonas siliginis	2842346	S	4	0	4	0.00001
Pseudomonas vanderleydeniana	2745495	S	3	0	3	0.00001
Pseudomonas vancouverensis	95300	S	3	0	3	0.00001
Pseudomonas umsongensis	198618	S	3	0	3	0.00001
Pseudomonas lini	163011	S	3	0	3	0.00001
Pseudomonas knackmussii	65741	S	3	0	3	0.00001
Pseudomonas moraviensis	321662	S	3	0	3	0.00001
Pseudomonas versuta	1788301	S	3	0	3	0.00001
Pseudomonas asplenii	53407	S	3	0	3	0.00001
Pseudomonas zeae	2745510	S	3	0	3	0.00001
Pseudomonas campi	2731681	S	2	0	2	0.00000
Pseudomonas silesiensis	1853130	S	2	0	2	0.00000
Pseudomonas pergaminensis	2853159	S	2	0	2	0.00000
Pseudomonas wenzhouensis	2906062	S	2	0	2	0.00000
Pseudomonas viciae	2505979	S	2	0	2	0.00000
Pseudomonas izuensis	2684212	S	2	0	2	0.00000
Pseudomonas zarinae	2745498	S	2	0	2	0.00000
Pseudomonas hamedanensis	2745504	S	2	0	2	0.00000
Pseudomonas monsensis	2745509	S	2	0	2	0.00000
Pseudomonas tensinigenes	2745511	S	2	0	2	0.00000
Pseudomonas shahriarae	2745512	S	2	0	2	0.00000
Pseudomonas alcaliphila	101564	S	2	0	2	0.00000
Pseudomonas parafulva	157782	S	2	0	2	0.00000
Pseudomonas graminis	158627	S	2	0	2	0.00000
Pseudomonas seleniipraecipitans	640205	S	2	0	2	0.00000
Pseudomonas granadensis	1421430	S	2	0	2	0.00000
Pseudomonas toyotomiensis	554344	S	2	0	2	0.00000
Pseudomonas chengduensis	489632	S	2	0	2	0.00000
Pseudomonas promysalinigenes	485898	S	2	0	2	0.00000
Pseudomonas oryzae	1392877	S	2	0	2	0.00000
Pseudomonas tohonis	2725477	S	1	0	1	0.00000
Pseudomonas iranensis	2745503	S	1	0	1	0.00000
Pseudomonas xantholysinigenes	2745490	S	1	0	1	0.00000
Pseudomonas marincola	437900	S	1	0	1	0.00000
Pseudomonas phenolilytica	2746321	S	1	0	1	0.00000
Pseudomonas reinekei	395598	S	1	0	1	0.00000
Pseudomonas pohangensis	364197	S	1	0	1	0.00000
Pseudomonas germanica	2815720	S	1	0	1	0.00000
Pseudomonas entomophila	312306	S	1	0	1	0.00000
Pseudomonas alvandae	2842348	S	1	0	1	0.00000
Pseudomonas psychrotolerans	237610	S	1	0	1	0.00000
Pseudomonas fakonensis	2842355	S	1	0	1	0.00000
Pseudomonas sichuanensis	2213015	S	1	0	1	0.00000
Pseudomonas saudiphocaensis	1499686	S	1	0	1	0.00000
Pseudomonas lalkuanensis	2604832	S	1	0	1	0.00000
Candidatus Pseudomonas adelgestsugas	1302376	S	1	0	1	0.00000
Stutzerimonas stutzeri	316	S	15	0	15	0.00004
Entomomonas sp. F2A	2785331	S	3	0	3	0.00001
Aeromonas caviae	648	S	2072	0	2072	0.00497
Aeromonas media	651	S	15	0	15	0.00004
Aeromonas veronii	654	S	5	0	5	0.00001
Aeromonas salmonicida	645	S	4	0	4	0.00001
Aeromonas hydrophila	644	S	3	0	3	0.00001
Aeromonas sp. ASNIH4	1636609	S	1	0	1	0.00000
Oceanisphaera profunda	1416627	S	1	0	1	0.00000
Succinivibrio dextrinosolvens	83771	S	1	0	1	0.00000
Klebsiella pneumoniae	573	S	54	150	204	0.00049
Klebsiella variicola	244366	S	40	0	40	0.00010
Klebsiella aerogenes	548	S	1	0	1	0.00000
Klebsiella quasipneumoniae	1463165	S	1	0	1	0.00000
Salmonella enterica	28901	S	107	1967	2074	0.00497
Citrobacter pasteurii	1563222	S	33	0	33	0.00008
Citrobacter sp. RHB25-C09	2742624	S	2	0	2	0.00000
Citrobacter rodentium	67825	S	1	0	1	0.00000
Escherichia coli	562	S	31	97	128	0.00031
Kosakonia arachidis	551989	S	19	0	19	0.00005
Enterobacter hormaechei	158836	S	8	26	34	0.00008
Buttiauxella sp. 3AFRM03	2479367	S	1	0	1	0.00000
Yersinia enterocolitica	630	S	72	0	72	0.00017
Yersinia pseudotuberculosis	633	S	1	0	1	0.00000
Yersinia ruckeri	29486	S	1	0	1	0.00000
Serratia fonticola	47917	S	10	0	10	0.00002
Serratia sp. 3ACOL1	2448483	S	7	0	7	0.00002
Serratia ureilytica	300181	S	2	0	2	0.00000
Serratia marcescens	615	S	1	1	2	0.00000
Chania multitudinisentens	1639108	S	2	0	2	0.00000
Rahnella aquatilis	34038	S	1	0	1	0.00000
Pantoea ananatis	553	S	29	0	29	0.00007
Erwinia persicina	55211	S	8	0	8	0.00002
Buchnera aphidicola	9	S	2	0	2	0.00000
Mixta calida	665913	S	1	0	1	0.00000
Candidatus Arsenophonus lipoptenae	634113	S	2	0	2	0.00000
Photorhabdus thracensis	230089	S	1	0	1	0.00000
Pectobacterium brasiliense	180957	S	2	0	2	0.00000
Pectobacterium polonicum	2485124	S	2	0	2	0.00000
Halomonas sp. YLGW01	2773308	S	15	0	15	0.00004
Halomonas sp. JS92-SW72	2306583	S	7	0	7	0.00002
Halomonas chromatireducens	507626	S	6	0	6	0.00001
Halotalea alkalilenta	376489	S	23	0	23	0.00006
Salinicola tamaricis	1771309	S	2	0	2	0.00000
Candidatus Carsonella ruddii	114186	S	1	0	1	0.00000
Alcanivorax sp. N3-2A	2014542	S	2	0	2	0.00000
Ketobacter alkanivorans	1917421	S	1	0	1	0.00000
Marinobacterium rhizophilum	420402	S	1	0	1	0.00000
Neptunomonas phycophila	1572645	S	1	0	1	0.00000
Endozoicomonas sp. 4G	2872754	S	1	0	1	0.00000
Endozoicomonas sp. SCSIO W0465	2918516	S	1	0	1	0.00000
Spiribacter curvatus	1335757	S	13	0	13	0.00003
Acidihalobacter ferrooxydans	1765967	S	12	0	12	0.00003
Thioalkalivibrio paradoxus	108010	S	1	0	1	0.00000
Thioalkalivibrio nitratireducens	186931	S	1	0	1	0.00000
Marichromatium purpuratum	37487	S	1	0	1	0.00000
Granulosicoccus antarcticus	437505	S	1	0	1	0.00000
Woeseia oceani	1548547	S	1	0	1	0.00000
Shewanella sp. Scap07	2589987	S	9	0	9	0.00002
Shewanella sp. OM3-2	2908650	S	1	0	1	0.00000
Shewanella sedimentimangrovi	2814293	S	1	0	1	0.00000
Glaciecola nitratireducens	300231	S	2	0	2	0.00000
Alteromonas sp. BL110	1714845	S	1	0	1	0.00000
Pseudoalteromonas sp. SCSIO 43201	2822842	S	1	0	1	0.00000
Pseudoalteromonas sp. Scap06	2589991	S	1	0	1	0.00000
Psychromonas sp. CNPT3	314282	S	1	0	1	0.00000
[Haemophilus] ducreyi	730	S	15	0	15	0.00004
Haemophilus influenzae	727	S	1	0	1	0.00000
Glaesserella sp. 15-184	2030797	S	1	0	1	0.00000
Gallibacterium anatis	750	S	1	0	1	0.00000
Histophilus somni	731	S	1	0	1	0.00000
Vespertiliibacter pulmonis	1443036	S	1	0	1	0.00000
Sedimenticola thiotaurini	1543721	S	13	0	13	0.00003
Vibrio sp. Scap24	2589990	S	5	0	5	0.00001
Vibrio cortegadensis	1328770	S	1	0	1	0.00000
Vibrio nigripulchritudo	28173	S	1	0	1	0.00000
Cellvibrio sp. QJXJ	2964606	S	6	0	6	0.00001
Teredinibacter purpureus	2731756	S	1	0	1	0.00000
Marinagarivorans sp. GE09	2721545	S	1	0	1	0.00000
Acinetobacter baumannii	470	S	3	4	7	0.00002
Acinetobacter haemolyticus	29430	S	1	0	1	0.00000
Acinetobacter towneri	202956	S	1	0	1	0.00000
Acinetobacter sp. Marseille-Q1620	2714110	S	1	0	1	0.00000
Moraxella bovis	476	S	1	0	1	0.00000
Legionella antarctica	2708020	S	1	0	1	0.00000
Legionella sp. PC997	2755562	S	1	0	1	0.00000
Coxiella burnetii	777	S	1	0	1	0.00000
Francisella persica	954	S	1	0	1	0.00000
Thiomicrorhabdus aquaedulcis	2211106	S	1	0	1	0.00000
Gilliamella sp. ESL0443	2704655	S	1	0	1	0.00000
Rhizobium leguminosarum	384	S	87	0	87	0.00021
Rhizobium sp. SL42	2806346	S	23	0	23	0.00006
Rhizobium sp. WYJ-E13	2849093	S	11	0	11	0.00003
Rhizobium pusense	648995	S	3	0	3	0.00001
Agrobacterium tumefaciens	358	S	35	0	35	0.00008
Agrobacterium vitis	373	S	2	0	2	0.00000
Sinorhizobium meliloti	382	S	12	0	12	0.00003
Bradyrhizobium genosp. L	83637	S	22	0	22	0.00005
Bradyrhizobium sediminis	2840469	S	21	0	21	0.00005
Bradyrhizobium cosmicum	1404864	S	12	0	12	0.00003
Bradyrhizobium sp. 186	2782654	S	2	0	2	0.00000
Bradyrhizobium sp. ORS 278	114615	S	1	0	1	0.00000
Bradyrhizobium arachidis	858423	S	1	0	1	0.00000
